area,url,handler,file
admin,admin/trackingandnotifications/requestdigitalreceipts,requestDigitalReceiptsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/connections,creditCardConnectionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/createcreditcard,createCreditCardTransactionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/expense,expenseTransactionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/failed,failedTransactionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/failedtravel,failedTravelTransactionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/filtered,filteredTransactionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/monitor,cardMonitorRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/transactionmanagement/travel,travelTransactionsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/forms,formsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/forms/changeSet/(:section),formsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/forms/changeSet/(:section)/(:route),formsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/forms/changeSet/(:section)/(:route)/(*subRoute),formsRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/ruleMessages,ruleMessagesRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/uda,UDARoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/uda/(:section),UDARouteCS,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/uda/changeSet/(:section),UDARoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/uda/changeSet/(:section)/(:route),UDARoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/uiRules,uiRulesRoute,repos/legacy/mercury/js/products/admin/router.js
admin,admin/userInterface/uiRules/changeSet/(:section),uiRulesRoute,repos/legacy/mercury/js/products/admin/router.js
admin,changeSet/:changeSetId,onMosaicsChangeSetRoute,repos/legacy/mercury/js/products/admin/user_interface/mosaics/router.js
admin,changeSet/:changeSetId,onBusinessRuleChangeSetRoute,repos/legacy/mercury/js/products/admin/user_interface/business_rules/Router.js
admin,changeSet/:changeSetId,onMotdChangeSetRoute,repos/legacy/mercury/js/products/admin/user_interface/motd/router.js
admin,changeSet/:changeSetId(/)(:language)(/)(:filter)(/)(:mode),onDetail,repos/legacy/mercury/js/products/admin/user_interface/messages/router.js
admin,changeSet/:changeSetId(/)(:language)(/)(:reportName)(/)(:mode),routeToDetails,repos/legacy/mercury/js/products/admin/user_interface/analytic_reports/router.js
admin,changeSet/:changeSetId/:applicationType,onMosaicsBaseScreenRoute,repos/legacy/mercury/js/products/admin/user_interface/mosaics/router.js
admin,changeSet/:changeSetId/:applicationType/:mosaicType,onMosaicTypeRoute,repos/legacy/mercury/js/products/admin/user_interface/mosaics/router.js
admin,changeSet/:changeSetId/:applicationType/:mosaicType/:selectedTab,onMosaicTypeRoute,repos/legacy/mercury/js/products/admin/user_interface/mosaics/router.js
admin,changeSet/:changeSetId/:applicationType/:ruleType,onBusinessRuleManagerRoute,repos/legacy/mercury/js/products/admin/user_interface/business_rules/Router.js
admin,grants(/:id),grants,repos/legacy/mercury/js/products/admin/admin_permissions/router.js
admin,policies(/:id),policies,repos/legacy/mercury/js/products/admin/admin_permissions/router.js
analytics,analytics(/)(:section)(/)(:category)(/)(:parentReport)(/)(:report),_showLayout,repos/legacy/mercury/js/products/analytics/analyticsRouter.js
approvals,approval(s)(/),defaultRoute,repos/legacy/mercury/js/products/approvals/expense_router.js
approvals,approval/expense/:id,expenseReport,repos/legacy/mercury/js/products/approvals/expense_router.js
approvals,approval/preapproval/:id,preapprovalReport,repos/legacy/mercury/js/products/approvals/preapproval_router.js
approvals,approvals/expense(/:loadFirst),expenseApprovals,repos/legacy/mercury/js/products/approvals/expense_router.js
approvals,approvals/expense/goto/:id,expenseApprovalsGoToReport,repos/legacy/mercury/js/products/approvals/expense_router.js
approvals,approvals/expense/removeAndShowNext/:id,expenseApprovalsRemoveAndShowNextReport,repos/legacy/mercury/js/products/approvals/expense_router.js
approvals,approvals/expense/reset,expenseApprovalsCollectionReset,repos/legacy/mercury/js/products/approvals/expense_router.js
approvals,approvals/preapproval(/:loadFirst),preapprovalApprovals,repos/legacy/mercury/js/products/approvals/preapproval_router.js
dashboard,,initializeDashboard,repos/legacy/mercury/js/routers/dashboardRouter.js
dashboard,dashboard(/),onDashboardPushRoute,repos/legacy/mercury/js/routers/dashboardRouter.js
dashboard,dashboard/gallery,showReceiptGallery,repos/legacy/mercury/js/routers/dashboardRouter.js
dashboard,dashboard/welcomeTour,launchWelcomeTour,repos/legacy/mercury/js/routers/dashboardRouter.js
expense,expense(s)/*actions(/),unknownExpenseRoute,repos/legacy/mercury/js/products/expense/expenseRouter.js
expense,expense/:type(/:id)(/)(:focus)(/)(:lineitemId)(/),expenseReportRoute,repos/legacy/mercury/js/products/expense/expenseRouter.js
expense,expense/:type/:id/attach/receiptIds=:receiptIds,expenseReportRouteAttachReceipts,repos/legacy/mercury/js/products/expense/expenseRouter.js
expense,expense/management,expenseManagementRoute,repos/legacy/mercury/js/products/expense/management/expenseManagementRouter.js
expense,expense/management(/)(:searchOption)(/)(:searchTerm)(/),expenseManagementRoute,repos/legacy/mercury/js/products/expense/management/expenseManagementRouter.js
expense,expense/management(/)(:searchTerm)(/),expenseManagementRoute,repos/legacy/mercury/js/products/expense/management/expenseManagementRouter.js
expense,expenses/:type(/:id)(/),expenseSummaryListRoute,repos/legacy/mercury/js/products/expense/expenseRouter.js
expense,expenses/personalCharges,expensePersonalChangesRoute,repos/legacy/mercury/js/products/expense/expenseRouter.js
inquiry,inquiries(/)(:category)(/)(:report),inquirySummaryRoute,repos/legacy/mercury/js/products/inquiry/inquiryRouter.js
personalcharges,personalcharges,onPersonalCharge,repos/legacy/mercury/js/products/personalcharges/router.js
preapproval,preapproval/:id,reportRoute,repos/legacy/mercury/js/products/preapproval/preapprovalRouter.js
preapproval,preapprovals/:type,summaryListRoute,repos/legacy/mercury/js/products/preapproval/preapprovalRouter.js
settings,settings(/),settingsRoute,repos/legacy/mercury/js/products/settings/router.js
statements,banks/:bankId/cardholders,cardholders,repos/legacy/mercury/js/products/statements/company/router.js
statements,banks/:bankId/pending,pending,repos/legacy/mercury/js/products/statements/company/router.js
statements,banks/:bankId/statements,statements,repos/legacy/mercury/js/products/statements/company/router.js
statements,statements/my-statements/:accountId,myStatementsSummaryListRoute,repos/legacy/mercury/js/products/statements/my_statements/router.js
